company,female,male,white,asian,latino,black,multi,other,undeclared,employees
U.S. Population,50.79,49.21,0.64,0.04,0.16,0.12,0.01,0.03,0,"320,051,000"
Facebook,31,69,57,34,4,2,3,0,0,"8,348.00"
Instagram,31,69,57,34,4,2,3,0,0,9
Google+,30,70,61,30,3,2,4,1,0,0
YouTube,30,70,61,30,3,2,4,1,0,0
LinkedIn,39,61,53,38,4,2,2,1,0,"6,000.00"
Pinterest,40,60,50,42,2,1,0,5,0,300
Tumblr,37,62,50,39,4,2,2,2,0,298
Flickr,37,62,50,39,4,2,2,2,0,0
Twitter,30,70,59,29,3,2,3,4,0,"3,600.00"
Yahoo!,37,62,50,39,4,2,2,2,0,"12,300.00"
Google,30,70,61,30,3,2,4,1,0,"51,564.00"
Apple,30,70,55,15,11,7,2,1,9,"80,000.00"
Cisco,23,77,54,0,0,0,0,0,0,"78,000.00"
eBay,42,58,61,24,5,7,1,1,0,"31,800.00"
HP,33,67,72,6,14,7,1,1,0,"317,500.00"
Indiegogo,45,55,64,23,8,2,0,3,0,100
Nvidia,16,84,38,44,3,1,14,1,0,"8,800.00"
Dell,30,70,69,9,11,10,0,1,0,"111,300.00"
Ingram Micro,42,58,63,11,16,10,0,0,0,"1,200.00"
Intel,25,75,61,26,9,4,0,1,0,"107,600.00"
Groupon,47,53,71,15,5,4,0,4,0,"10,000.00"
Amazon,37,63,60,13,9,15,0,3,0,"88,400.00"
Salesforce,29,71,67,22,4,2,2,3,0,0
Pandora,49,51,71,12,7,3,6,1,0,0
Microsoft,29,71,61,29,5,4,1,1,0,0
total average,34,66,59,25,6,4,2,2,0,0
DiversityInc top 50,54,46,68,10,10,12,0,0,0,0
Fortune 500 CEOs,5,95,83,2,2,1,0,0,0,0
Kaiser Permanente,76,24,48,20,18,13,0,0,0,0
US Congress,19,81,80,6,6,8,0,0,0,0
Venture Capitalists,11,89,87,9,2,2,2,0,0,0
