EllipseID,X,Y,Length,StrokeScale,Angle,color
128,568,467,3,1,128.05909640487295,#281153
129,91,179,2,1,-73.33108389404089,#CBD18C
130,273,517,2,1,62.74990372823766,#C0B7D4
131,382,646,1,1,128.2067941497101,#7C494E
132,279,221,2,1,-5.8367827923118085,#DFB899
133,62,322,2,1,253.7499664727743,#D1A48C
134,136,556,2,1,101.8502482687314,#C39ED4
135,625,500,1,1,-36.08035977480199,#B19A88
136,20,363,1,1,4.064000208865835,#C29E74
137,96,496,1,1,-71.50137521305714,#DD768E
138,66,487,2,1,-55.920665134969255,#B1A573
139,685,163,2,1,-68.81896464279913,#C2BB83
140,726,88,2,1,268.56987334659345,#B7A6B3
141,254,447,2,1,181.6769554934669,#A680A6
142,489,477,2,1,143.0524356715403,#0A0611
143,301,58,2,1,0.5739369472476312,#DFD7B3
144,640,676,2,1,229.15149715231033,#B19A88
145,315,110,1,1,253.38268627537914,#D1D3ED
146,109,694,2,1,0.8286277172994687,#A680A6
147,190,412,3,1,-76.3236942845115,#A67392
148,235,150,2,1,12.734362917506445,#D1D3ED
149,491,308,2,1,-52.072465513958775,#070711
150,164,291,1,1,14.775983166590535,#B7A6B3
151,561,130,2,1,8.665239839060249,#D3DF99
152,28,390,1,1,80.10957798042001,#B7A6B3
153,124,447,1,1,-32.221626886645666,#BB80A2
154,659,185,2,1,18.624919095453336,#C2BB83
155,730,592,2,1,21.04109556890819,#B1A573
156,74,339,2,1,237.87013162190232,#B782AA
157,352,328,4,1,-13.592160450292695,#281153
158,686,275,2,1,4.667584431374834,#C28D83
159,456,129,3,1,144.4567425860841,#4E2B31
160,648,249,2,1,52.08845648736857,#B7A6B3
161,81,23,1,1,91.28310547610981,#DFD7B3
162,713,509,1,1,107.36947393147281,#B19A88
163,27,87,2,1,82.44376722630456,#DFD7B3
164,467,284,3,1,133.68317278147657,#0D0C35
165,11,666,2,1,-85.0724942659296,#DFD7B3
166,194,579,3,1,226.60321660664187,#9B5F6A
167,717,651,2,1,107.34117147747244,#A67392
168,473,687,2,1,245.41106206904732,#0D0C35
169,312,293,3,1,125.56629571467556,#A58DD4
170,233,158,2,1,20.822477509091243,#C0B7D4
171,569,531,2,1,43.975304503113,#1B1C53
172,237,579,3,1,249.34202331769404,#7C4B3A
173,286,201,5,1,-55.32328362597528,#070711
174,344,439,3,1,241.79950493929002,#A6808A
175,349,117,3,1,203.70036303912735,#D1D3ED
176,172,665,2,1,260.99093317935785,#B7A6B3
177,504,351,1,1,-28.40902515222598,#0A0611
178,57,662,1,1,-47.38161030009894,#B782AA
179,365,449,5,1,236.10709363560008,#301420
180,227,35,1,1,5.943188860953001,#DD90BF
181,588,457,4,1,101.86771240923171,#C29E74
182,99,56,1,1,60.3983700391913,#D1C5A5
183,264,151,2,1,61.36224831131264,#D1D3ED
184,689,251,2,1,-26.375995750871567,#9B6B86
185,724,361,2,1,25.977184196772,#D1A48C
186,451,426,2,1,-75.97047274778058,#040235
187,70,451,2,1,-55.963374587231385,#A680A6
188,62,16,2,1,109.7192062379816,#D3DF99
189,204,308,4,1,-59.04659501369875,#190635
190,57,671,1,1,23.839199681836575,#C2B09A
191,182,351,5,1,-88.35978076304181,#061535
192,698,511,2,1,62.63637347371372,#B19A88
193,264,72,2,1,-12.815200418406917,#B5CDED
194,226,556,3,1,147.15430154290962,#B782AA
195,365,226,3,1,-33.96720083292996,#9EA1D4
196,430,209,2,1,122.90311454611395,#B19A88
197,493,519,1,1,-86.91928865695621,#040235
198,126,526,1,1,37.47193335583255,#A6939F
199,272,540,3,1,140.25503067767832,#D1C5A5
200,497,74,1,1,-42.437995058147294,#DFD7B3
201,448,273,2,1,87.38202588951373,#0C0911
202,630,291,2,1,59.38831271923256,#C2BB83
203,101,425,2,1,-49.79009233479147,#B18765
204,596,384,3,1,85.13005357749135,#C2BB83
205,571,13,1,1,266.0636091014762,#DFD7B3
206,104,119,2,1,-5.482509057972621,#DFB899
207,611,541,2,1,-64.33873921400411,#B19A88
208,64,65,1,1,27.80589107737221,#DFD7B3
209,573,567,3,1,255.9375182117678,#1B1C53
210,567,197,3,1,-88.62684809809923,#B19A88
211,109,19,1,1,105.20778291919812,#DFD088
212,448,683,5,1,265.5614604392905,#0B0B53
213,97,518,2,1,-64.45096256451748,#A6808A
214,618,519,2,1,-43.75800896125739,#B1A573
215,526,483,2,1,211.059140767541,#0D0C35
216,7,387,1,1,38.33709149557893,#D1C5A5
217,597,168,3,1,-0.15455064151792897,#A6939F
218,526,43,1,1,-16.352610898995806,#D3DF99
219,0,204,1,1,74.8316558541361,#D1A48C
220,90,401,2,1,-77.80084053963611,#C29E74
221,568,39,1,1,-0.7040477756473109,#D1BA7C
222,669,423,1,1,-12.121410283732402,#B19A88
223,673,685,2,1,4.067415188825009,#B17873
224,145,528,3,1,-82.07596823131072,#CBD18C
225,702,691,2,1,9.085483685832259,#9B7D83
226,490,214,3,1,181.9016994060288,#B17873
227,688,278,2,1,-2.7013329550662633,#CBD18C
228,86,422,2,1,-47.17756707293492,#DF5B9A
229,732,310,2,1,-3.735502926222779,#B290B7
230,363,74,3,1,146.23749293346185,#DD65AB
231,548,79,1,1,-55.85306965880639,#D1C5A5
232,496,74,1,1,-40.59362950850718,#DFB899
233,689,679,1,1,79.23994886066355,#B18765
234,118,269,1,1,-8.769636913509672,#B19A88
235,399,337,2,1,103.47815049278398,#070711
236,336,294,5,1,32.767518464511966,#A58DD4
237,659,256,2,1,38.92826160732938,#A680A6
238,448,200,4,1,251.23495924896628,#B18765
239,710,297,2,1,-14.233865255046624,#CBD18C
240,434,305,1,1,-54.99368956841417,#0A0611
241,336,564,2,1,215.2209874821583,#C0B7D4
242,114,44,1,1,87.71836079376982,#DFD7B3
243,218,407,3,1,126.19943289015683,#8C594D
244,253,444,2,1,156.67367871690814,#D1C5A5
245,288,362,4,1,86.79046510406828,#061535
246,679,50,2,1,-85.08657714567622,#D1BA7C
247,303,681,3,1,37.13921176697009,#C2B09A
248,382,50,2,1,25.67135196551402,#C2B09A
249,176,570,3,1,-51.6870242151314,#A680A6
250,699,341,2,1,-4.182235857252863,#B1A573
251,516,677,2,1,166.9871823016323,#9B6B86
252,133,564,2,1,21.984859511851766,#A6939F
253,371,455,5,1,226.55230804839158,#4E2B4A
254,16,554,2,1,262.785597270253,#B790A0
255,652,99,1,1,256.0944515322201,#D1BA7C
256,382,353,5,1,186.2253099198503,#061535
257,450,438,2,1,-70.6395211412133,#070711
258,189,583,4,1,233.42836244440426,#B790A0
259,316,353,4,1,262.9369831183013,#B19A88
260,151,666,2,1,113.48805828541096,#BB6A7B
261,23,11,2,1,105.24772753799544,#D1BA7C
262,615,276,3,1,68.83793803947646,#B290B7
263,236,540,2,1,124.89374565540695,#B790A0
264,199,8,1,1,35.59034994894165,#D3DF99
265,697,633,1,1,55.67847155052305,#A67392
266,700,317,2,1,-0.7532939937401153,#DFB899
267,711,274,2,1,-34.040526552801694,#9EA1D4
268,571,60,1,1,-63.720560904073466,#DFD7B3
269,376,267,3,1,190.0111907598921,#9B6B86
270,461,327,3,1,69.38071663351697,#0F0711
271,656,6,2,1,-58.86232697500927,#DD90BF
272,625,634,2,1,221.02167234974152,#B17873
273,729,429,1,1,154.18300534911901,#C2B09A
274,71,170,2,1,-56.90269136230842,#DFD7B3
275,269,59,2,1,-7.191001442368375,#C39ED4
276,288,639,4,1,97.89704854588922,#A680A6
277,468,101,3,1,-12.649676372010205,#30171A
278,360,702,2,1,249.9648240501247,#7C494E
279,668,17,1,1,-51.38674458901045,#DFD088
280,122,68,1,1,52.51782634862056,#DFD7B3
281,167,548,3,1,223.29614954759705,#A67392
282,225,393,5,1,191.10679182444443,#0A0611
283,684,117,2,1,-86.49404468045037,#D1BA7C
284,115,674,1,1,-18.670113569661268,#A6939F
285,96,415,2,1,-51.73151146198481,#C39ED4
286,252,316,2,1,-53.40158378402623,#DF5B9A
287,523,422,2,1,181.30755311905943,#040235
288,36,528,2,1,250.87189523461845,#B290B7
289,110,477,2,1,-4.431976750418244,#B19A88
290,671,191,1,1,-33.226309652629496,#DFD7B3
291,353,219,2,1,-18.4593089984985,#C39ED4
292,517,126,4,1,77.57598360069369,#BB6A7B
293,536,75,1,1,-38.81246184186634,#D1C5A5
294,706,27,1,1,259.2905270781411,#D1C5A5
295,278,260,2,1,205.58365424450935,#A3A6ED
296,549,238,4,1,257.8176314349222,#0A0611
297,187,253,3,1,233.51706256477482,#B7A6B3
298,48,447,2,1,-36.77184158640256,#D1BA7C
299,126,575,2,1,19.011493936580194,#B790A0
300,86,644,1,1,1.4025105134955282,#A6939F
301,445,11,1,1,-76.78873499626098,#DFD7B3
302,332,478,3,1,-1.8094845865077502,#C39ED4
303,426,17,1,1,-47.21586369433402,#DFD7B3
304,671,70,1,1,-68.8300196574528,#D3DF99
305,395,80,2,1,31.30249472302276,#DD768E
306,490,309,2,1,-64.01625947306928,#0F0711
307,532,51,1,1,-21.486526516688457,#D1A48C
308,43,18,2,1,106.3821488765074,#DFD088
309,512,359,1,1,73.33566541256144,#070711
310,703,182,2,1,-66.81042265330404,#D1C5A5
311,661,567,1,1,42.441320975613955,#B17873
312,497,472,2,1,98.74321696261681,#0A0611
313,236,15,1,1,116.52107414832045,#DFB899
314,192,698,3,1,7.373924620305743,#A6808A
315,493,61,1,1,-58.69735198716347,#DFD7B3
316,367,574,4,1,0.8804480944729249,#8C594D
317,85,405,2,1,-64.49029419312947,#A6939F
318,62,69,1,1,35.13093811827567,#C2BB83
319,41,307,2,1,-88.10754471601606,#D1C5A5
320,370,684,2,1,-48.19710644389161,#7C494E
321,365,372,5,1,149.07624543842002,#B5CDED
322,636,539,2,1,-71.32875141140289,#B790A0
323,329,34,1,1,39.574405258961555,#D1D3ED
324,120,502,1,1,-20.969612659575972,#A67392
325,295,357,3,1,70.32104317889197,#B782AA
326,531,429,1,1,160.7600714469521,#0A0611
327,44,384,2,1,248.93043653139708,#DFB899
328,387,295,4,1,-42.43184106807618,#0F0711
329,695,526,2,1,41.079673254939244,#B19A88
330,494,305,2,1,8.963264191735362,#0F0711
331,385,660,2,1,155.71259592464838,#7C494E
332,656,249,2,1,45.713688149588656,#C0B7D4
333,653,684,2,1,-85.5828970612198,#9B7D83
334,166,396,2,1,-28.871708034778266,#B290B7
335,323,627,3,1,255.23695359744062,#A6939F
336,386,217,4,1,-81.37308800124887,#4E3442
337,480,201,3,1,145.87996302392364,#7C494E
338,244,449,4,1,101.18309437977476,#B782AA
339,120,129,2,1,9.038178879346617,#C2B09A
340,255,116,1,1,52.3219044907722,#D1D3ED
341,516,47,1,1,-38.9363573530799,#A6939F
342,215,143,2,1,62.023139128580546,#B5CDED
343,265,25,1,1,62.56239664072625,#C2B09A
344,21,665,2,1,-82.06476414638638,#A6808A
345,660,248,2,1,39.639843531400984,#A680A6
346,693,272,2,1,-19.565728133971334,#B7A6B3
347,52,287,2,1,-83.09449814461917,#CBD18C
348,477,495,2,1,92.2299187049713,#0F0711
349,19,654,2,1,-45.323577496384786,#B790A0
350,425,458,3,1,94.388993157326,#0C0911
351,325,14,1,1,-7.496997396351816,#DFD7B3
352,273,337,3,1,-22.40661295593854,#4E2B4A
353,271,402,3,1,1.7186161794072348,#BB6A7B
354,542,525,1,1,190.7779499266967,#301D26
355,186,406,2,1,-53.71720242168195,#B19A88
356,413,349,4,1,87.32564129693174,#9B6B86
357,37,660,2,1,-77.49805575496421,#A6939F
358,274,109,1,1,117.22462064867229,#D1D3ED
359,389,695,2,1,51.842879213899224,#7C494E
360,136,557,2,1,86.23505391704255,#D1A48C
361,503,592,5,1,81.55781235203028,#9B7D83
362,114,516,2,1,-29.63195362984206,#A6939F
363,634,78,1,1,-20.10436256226322,#C2B09A
364,730,53,1,1,-63.18275998172163,#D3DF99
365,418,573,3,1,217.20679176494392,#7C4B3A
366,435,522,3,1,-46.25151271812351,#301420
367,275,127,1,1,48.57369182508927,#D1D3ED
368,145,433,1,1,-75.48372036241278,#D1A48C
369,450,223,3,1,113.53138175424806,#8C5E66
370,76,203,2,1,-63.8155777970662,#B19A88
371,328,142,2,1,15.920532813585481,#C6B5ED
372,267,22,1,1,60.5961148435658,#DFD7B3
373,442,134,2,1,95.03435700234296,#0F0711
374,329,667,2,1,264.93186319594685,#A6939F
375,355,235,3,1,-11.74335323922341,#B7A6B3
376,342,132,2,1,-30.668510256811203,#B5CDED
377,541,29,1,1,269.13855482259453,#DFD7B3
378,470,307,3,1,130.71925651328252,#0A0611
379,482,596,1,1,-69.74418206401381,#30171A
380,33,362,2,1,-65.02412816829167,#A6939F
381,591,187,3,1,-14.747575647869013,#C29E74
382,700,139,2,1,-81.59623247862606,#DFD7B3
383,337,192,3,1,269.1490733601621,#D1D3ED
384,422,578,3,1,259.007742023643,#8C5E66
385,125,233,1,1,-25.63858378451485,#DFD088
386,70,429,2,1,-61.00932722832741,#B1A573
387,615,427,2,1,-19.475875223387646,#B782AA
388,618,460,2,1,-39.304711263316136,#B19A88
389,729,52,1,1,-59.954152992686716,#B19A88
390,65,437,2,1,-56.56927705394014,#B7A6B3
391,383,404,3,1,5.89271306835839,#B19A88
392,15,287,2,1,-56.90773302421846,#D1C5A5
393,519,358,1,1,108.61187371010772,#0D0C35
394,621,437,1,1,-70.75946325996324,#A6939F
395,252,264,3,1,106.96802826871266,#D1D3ED
396,228,513,4,1,123.34157904295765,#C6B5ED
397,660,245,2,1,39.05548943851504,#D1C5A5
398,386,79,2,1,-36.485617452457845,#D1C5A5
399,326,560,3,1,132.18099054110718,#A58DD4
400,213,24,1,1,122.5862665722135,#A6939F
401,519,460,2,1,76.76753849071895,#301420
402,166,350,2,1,-81.29986198668584,#C2B09A
403,82,383,2,1,-74.1340683329777,#B7A6B3
404,533,349,2,1,74.45737594308403,#0A0611
405,573,417,5,1,76.45437655550688,#432F75
406,442,14,1,1,242.77508681571416,#C0B7D4
407,105,298,1,1,18.546662389648134,#B1A573
408,491,549,3,1,101.8610947122643,#070711
409,293,88,2,1,174.40857031036458,#B5CDED
410,667,525,2,1,54.24596445746519,#B1A573
411,510,583,2,1,222.79641302575305,#A67392
412,736,51,1,1,-49.91668618265541,#B7A6B3
413,675,480,1,1,50.39286387086774,#8C5E66
414,498,25,1,1,-74.32777607603032,#CBD18C
415,17,643,2,1,-50.02734175999677,#C2B09A
416,391,27,1,1,255.20824563827713,#D1C5A5
