EllipseID,X,Y,Length,StrokeScale,Angle,color
127,289,508,4,2,-67.44234325511562,#42191C
128,304,670,3,2,-89.29357883594702,#422A21
129,676,628,5,2,83.88526386420571,#423319
130,770,288,3,2,57.16130684859231,#D3CAC5
131,941,623,3,2,58.183030334967555,#D3CAC5
132,299,100,3,2,13.027507015875344,#CABFB7
133,489,372,5,2,112.89978783729214,#CD7253
134,24,337,3,2,41.18502953956883,#BAB0A9
135,600,741,5,2,18.234271227853284,#4D0E0D
136,582,520,4,2,269.4485860443899,#2C3740
137,937,317,2,2,38.79312615467687,#DCB9A2
138,600,248,6,2,71.30401640621406,#5D3C31
139,738,386,3,2,71.1336597160559,#DCD3CD
140,335,454,3,2,4.498271155860877,#4D1628
141,824,471,3,2,56.50892649533838,#D3CAC5
142,104,294,3,2,17.91482570424256,#BAB193
143,994,645,3,2,23.875232933154862,#CABFB7
144,399,699,5,2,-77.61299362370616,#320D0F
145,961,245,3,2,65.56026814434821,#D3CAC5
146,986,631,3,2,15.542740459539246,#DCD3CD
147,911,399,3,2,66.73239100831725,#DCB4B3
148,322,374,3,2,-3.7606506784389637,#CAA19F
149,937,103,2,2,114.38683704587253,#DCD3CD
150,857,404,2,2,41.425569149578386,#CABFB7
151,130,210,3,2,9.9045212335959,#BAB0A9
152,765,490,10,2,45.32254438529632,#9A7647
153,452,446,6,2,109.85970213323544,#9A6659
154,678,244,3,2,75.4518551319123,#DCD2B3
155,240,20,3,2,102.45588436688371,#BAB0A9
156,582,459,4,2,114.70806700532,#272B40
157,963,118,3,2,77.30289528569887,#DCD3CD
158,766,646,4,2,65.67327893362103,#7D3F29
159,661,303,3,2,71.36184102048863,#AFA789
160,340,181,3,2,-2.0669018851361045,#DCB9A2
161,786,583,4,2,61.967048002422935,#8A2D4B
162,642,6,2,2,91.19100091631228,#DCD2B3
163,718,729,4,2,-78.29120475444242,#42191C
164,195,371,2,2,-78.19009029872052,#BAB193
165,424,694,7,2,104.30643352940919,#150F0C
166,510,234,4,2,243.85548717758402,#8A1237
167,923,685,3,2,62.52320453656837,#D3C8AC
168,663,409,5,2,79.19548221905579,#BA9593
169,680,291,3,2,69.48789837401422,#DCB4B3
170,222,243,3,2,-5.998913418098496,#BAB0A9
171,548,710,3,2,217.25192726330116,#343640
172,312,696,6,2,109.16943716328623,#4D071C
173,552,340,7,2,-67.45145966276917,#BAB193
174,689,173,2,2,106.6068301367188,#D3CAC5
175,975,287,2,2,92.99462234805883,#D3CAC5
176,810,648,4,2,71.2832165853218,#6F2039
177,689,319,3,2,68.54136370282868,#D3CAC5
178,1000,37,2,2,228.43343469162932,#D3CAC5
179,668,357,3,2,-0.15015007275313508,#CD636D
180,489,631,6,2,-22.43882452436067,#AFA59E
181,300,186,4,2,30.436971177905008,#D3ACAC
182,596,324,5,2,80.04497111347148,#150A0A
183,564,661,6,2,173.37717259101234,#2C3740
184,787,693,4,2,74.2453962281695,#6F2039
185,802,193,2,2,16.24826541839758,#BAB193
186,202,282,2,2,-6.671527592701111,#CAA19F
187,747,255,2,2,186.55794332264418,#D3CAC5
188,782,405,2,2,54.55822594594514,#D3C8AC
189,952,207,2,2,57.96956536369726,#D3CAC5
190,413,756,9,2,110.74997915594187,#150F0C
191,491,364,5,2,131.24917621027836,#CD917B
192,731,58,3,2,52.996345971276604,#DCD3CD
193,409,535,4,2,108.09559185738588,#272B40
194,672,522,4,2,268.98766752578615,#5D262B
195,869,565,3,2,52.43343311697077,#DCD2B3
196,56,302,2,2,44.493353670612,#BAB0A9
197,811,148,2,2,123.40918407447687,#D3CAC5
198,161,638,3,2,-72.34789131410494,#BAB193
199,475,198,4,2,23.519246400188038,#AF917C
200,957,19,3,2,113.01447227112736,#DCD3CD
201,389,140,9,2,-57.43292286031718,#D3CAC5
202,519,395,6,2,-22.79206155149602,#B47F6D
203,315,564,4,2,223.3698607300521,#150F0C
204,130,261,2,2,6.119526093106188,#D3CAC5
205,611,223,9,2,73.30460655552488,#DCD2B3
206,685,461,5,2,18.172071985818036,#6F2039
207,668,426,6,2,44.654519856688424,#CABFB7
208,430,617,3,2,134.5124338938186,#CAA88F
209,64,9,3,2,94.7726877147558,#D3C8AC
210,1000,434,2,2,47.44116314982703,#D3CAC5
211,678,309,3,2,67.12439848003086,#D3ACAC
212,477,578,5,2,208.99519630747992,#4D0D39
213,644,513,5,2,81.75069121392738,#2C3740
214,330,725,5,2,235.41650008149767,#AFA59E
215,61,666,2,2,-20.588027280446823,#AFA59E
216,281,48,3,2,34.59484208956938,#CAC09F
217,15,46,3,2,79.39147723616314,#AFA789
218,348,334,8,2,-84.79494230799975,#CABFB7
219,726,513,4,2,67.38785910327017,#7D6032
220,429,450,5,2,94.67573358207768,#5D3C31
221,434,718,7,2,102.55181774429346,#2C3740
222,101,720,3,2,-46.58547361704771,#CDA463
223,969,720,3,2,38.04908125613241,#D3CAC5
224,389,364,6,2,265.8991263050924,#150A0A
225,611,200,6,2,74.09777818910251,#DCB9A2
226,295,319,3,2,-26.000763483636106,#AF8B89
227,684,247,3,2,77.76459270606443,#D3CAC5
228,997,510,2,2,94.90804886862476,#DCD2B3
229,987,478,2,2,-34.560691140306474,#DCD3CD
230,670,12,2,2,41.921574781807685,#D3CAC5
231,706,719,6,2,268.4975690129387,#6F2039
232,218,471,3,2,-40.6823269085597,#CAA19F
233,180,595,3,2,-60.78547072380627,#AFA59E
234,434,497,8,2,109.05454348854619,#5D2F1F
235,133,530,2,2,-88.44461037415945,#D3C8AC
236,316,512,3,2,129.4887816803345,#422A21
237,433,198,5,2,53.905033198789795,#AF917C
238,951,111,2,2,123.89174429141393,#DCD2B3
239,894,734,3,2,33.76826375792922,#CABFB7
240,479,137,9,2,160.6570442640475,#9A6659
241,661,88,2,2,80.49877253550434,#CABFB7
