Age,Gender,Income,CountryLive
30,female,46000,United States of America
31,male,30000,Slovenia
27,male,20000,United States of America
28,male,57000,United States of America
24,male,15000,United Kingdom
29,female,70000,United States of America
27,male,10000,Switzerland
33,male,65000,United States of America
24,male,17500,Canada
26,male,9000,United States of America
24,male,35000,United Kingdom
23,female,20000,Canada
20,male,15000,Denmark
31,male,40000,Mexico
