Department,Average Years of Met Possession
1,80.80281690140845
2,87.62181198102017
3,41.01589021307331
4,77.5611036137352
5,37.61316119086617
6,64.71545332191361
7,100.46827794561933
8,69.86782273603083
9,84.27741996144987
10,119.09125840537945
11,83.211372964385
12,93.57361652940327
13,41.800790513833995
14,96.52129369224588
15,32.57377318234039
16,45.987606506584044
17,65.80433686333838
18,69.12407809110628
19,12.0
