Department,Average Object Age
1,1561.140062597809
2,281.7041814946619
3,357.8916576381365
4,320.65356125356124
5,94.2486109772939
6,206.37588400832007
7,1715.1722054380664
8,300.3699421965318
9,240.8626768840205
10,1772.6423310918988
11,709.0785118495962
12,968.3769686461494
13,71.28365073661516
14,153.53234230614706
15,101.40623119426664
16,328.0476374903176
17,167.41048915784165
18,589.7969631236442
19,224.0909090909091
