Features,Importances
Department,0.7504150834820215
Object End Date,0.0894017090471939
Accession Year,0.01865914344198285
Object Begin Date,0.01821644522290423
Is Timeline Work,0.0007226178957837451
Is Highlight,2.0964419662206625e-05
